recall_number,recall_date,make,model,year_range,affected_units,reason,link
REC-001312,9-Jun-20,Toyota,RAV 4,2019 - 2020,"1,552","Small cracks may form in the front lower suspension arms and with rapid acceleration and deceleration over the parts' lifetime, these cracks could spread and the suspension arm can eventually separate from the front wheel assembly. The front lower suspension arms may have been affected by improper production conditions. Small cracks may form in the front lower suspension arms and with rapid acceleration and deceleration over the parts' lifetime, these cracks could spread and the suspension arm can eventually separate from the front wheel assembly. The front lower suspension arms may have been affected by improper production conditions.",https://www.vehiclerecalls.gov.au/recalls/rec-001312
REC-001313,21-Apr-20,Toyota,COROLLA,2020,780,"The reverse lights may stop working due to a wiring harness located at the back door losing electrical contact over time. The reverse lights may stop working due to a wiring harness located at the back door losing electrical contact over time. What are the hazards? Loss of reverse lights may reduce the visibility of the vehicle and provide no indication that the vehicle is reversing, increasing the risk of an accident or injury to the vehicle occupants, other road users or pedestrians.",https://www.vehiclerecalls.gov.au/recalls/rec-001313
REC-001314,5-Aug-20,Toyota,"PRIUS, COROLLA HYBRID",2014 - 2019,"5,965","These vehicles use software to control the hybrid system. The software is designed to put the system into a fail-safe mode if there is an internal component failure. This allows the vehicle to travel a limited distance at reduced power. In certain situations, such as hard acceleration immediately after a component failure, the hybrid system may shut down rather than go into fail-safe mode. If this happens, the vehicle may illuminate various warning lights and in some models may display a warning message to the driver in the instrument panel. These vehicles use software to control the hybrid system. The software is designed to put the system into a fail-safe mode if there is an internal component failure. This allows the vehicle to travel a limited distance at reduced power. In certain situations, such as hard acceleration immediately after a component failure, the hybrid system may shut down rather than go into fail-safe mode. If this happens, the vehicle may illuminate various warning lights and in some models may display a warning message to the driver in the instrument panel.",https://www.vehiclerecalls.gov.au/recalls/rec-001314
REC-001315,16-Dec-20,Toyota,"HILUX, FORTUNER",2018 - 2020,"23,957","The brake booster may have been incorrectly manufactured, causing an internal fault. The brake booster may have been incorrectly manufactured, causing an internal fault. What are the hazards? If the brake pedal is repeatedly operated whilst driving, loss of braking assist could increase the vehicle's stopping distance. This could result in an accident causing injury or death of vehicle occupants or other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-001315
REC-001316,30-Nov-20,Toyota,HILUX SR5,2020,15,Australian Design Rule 61/02 requires that a compliance label is fitted at the specified location of a new vehicle. Some vehicles were supplied without the compliance label being fitted. Australian Design Rule 61/02 requires that a compliance label is fitted at the specified location of a new vehicle. Some vehicles were supplied without the compliance label being fitted. What are the hazards? The vehicle is not compliant with Australian Design Rule 61/02.,https://www.vehiclerecalls.gov.au/recalls/rec-001316
REC-001317,19-Jan-21,Toyota,"YARIS CROSS, YARIS CROSS HYBRID",2020,"2,341","A sharp edge in the rear centre seat belt anchor bracket may damage the seatbelt webbing for that seat during a collision. A sharp edge in the rear centre seat belt anchor bracket may damage the seatbelt webbing for that seat during a collision. What are the hazards? If this were to occur, in the worst case, the seat belt webbing may be compromised and not properly restrain the rear centre occupant. There is an increased risk of serious injury or death to vehicle occupants.",https://www.vehiclerecalls.gov.au/recalls/rec-001317
REC-001318,11-Jan-21,Toyota,"YARIS HYBRID, YARIS CROSS HYBRID",2020,"1,295","Due to the improper application of anti-corrosion preservation agent, the hybrid transmission (input damper) may develop an abnormal slip condition during rapid acceleration. Due to the improper application of anti-corrosion preservation agent, the hybrid transmission (input damper) may develop an abnormal slip condition during rapid acceleration. What are the hazards? When abnormal slip occurs, the vehicle may shudder and a warning light will illuminate. In the worst case, the hybrid system may shut down, causing the vehicle to unexpectedly slow or stop, increasing the risk of an accident and injury or death to vehicle occupants and/or other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-001318
REC-001320,6-Apr-20,Toyota,"CAMRY, COROLLA, FJ CRUISER, KLUGER, HILUX, PRADO, LANDCRUISER 200",2013 - 2019,"75,905","The fuel pump on affected vehicles may stop operating. If the fuel pump stops working, warning lights and messages may display on the instrument panel, and the engine may not run smoothly. This can result in the vehicle stalling and the vehicle may not be able to be restarted. The fuel pump on affected vehicles may stop operating. If the fuel pump stops working, warning lights and messages may display on the instrument panel, and the engine may not run smoothly. This can result in the vehicle stalling and the vehicle may not be able to be restarted. What are the hazards? A loss of power while driving could increase the risk of an accident and injury to a vehicle occupant or other road users. In the event of a serious accident this may result in death.",https://www.vehiclerecalls.gov.au/recalls/rec-001320
REC-001372,18-Aug-20,VOLKSWAGEN,POLO,2018 - 2020,67,"As a result of manufacturing, injectors fitted to vehicles may leak fuel into the engine when the vehicle is turned off for an extended period of time. As a result of manufacturing, injectors fitted to vehicles may leak fuel into the engine when the vehicle is turned off for an extended period of time. What are the hazards? The vehicle may not meet the required emissions standards the next time it is driven.",https://www.vehiclerecalls.gov.au/recalls/rec-001372
REC-001375,2-Apr-20,VOLKSWAGEN,"GOLF, JETTA, PASSAT, POLO, CADDY",2011 - 2015,"16,098","Vehicles fitted with a 7 speed dual clutch gearbox have a fluid leak that can lead to pressure loss in the gearbox. This pressure loss can interrupt the power transmission between the engine and gearbox, resulting in loss of drive function. Vehicles fitted with a 7 speed dual clutch gearbox have a fluid leak that can lead to pressure loss in the gearbox. This pressure loss can interrupt the power transmission between the engine and gearbox, resulting in loss of drive function. What are the hazards? If the gearbox loses pressure, the vehicle may lose drive functionality. This may increase the risk of an accident occurring, which may result in serious injury to vehicle occupants or other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-001375
REC-001377,15-Oct-19,VOLKSWAGEN,"GOLF, JETTA, BEETLE, PASSAT, POLO, CADDY",2008 - 2015,"57,376","Due to a production fault, over time a crack in the transmissions pressure accumulator can occur. Due to a production fault, over time a crack in the transmissions pressure accumulator can occur. What are the hazards? If the pressure accumulator cracks, oil and pressure is lost in the hydraulic system of the gearbox. As a result, the transmission of engine power via the gearbox is interrupted. The experience of this symptom would be comparable to depressing the clutch in a vehicle fitted with a manual transmission. This could increase the likelihood of an accident affecting the occupants of the vehicle and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-001377
REC-001379,2-Jun-20,VOLKSWAGEN,TOUAREG,2019 - 2020,72,"A gearbox oil pipe may have been incorrectly welded which can result in a transmission oil leakage. A gearbox oil pipe may have been incorrectly welded which can result in a transmission oil leakage. What are the hazards? If the transmission oil leaks, there is an increased risk of an accident and injury to vehicle occupants and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-001379
REC-001383,11-Jun-19,VOLKSWAGEN,TIGUAN,2017 - 2019,"1,840","During a limited production period for Volkswagen Tiguan Allspace vehicles, a certain material used in the production of the rear springs was not approved for use in the process. As a result, there is a danger that a coil spring may break and damage the rear tyres. During a limited production period for Volkswagen Tiguan Allspace vehicles, a certain material used in the production of the rear springs was not approved for use in the process. As a result, there is a danger that a coil spring may break and damage the rear tyres. What are the hazards? If a coil spring breaks and damages the rear tyres, this could result in a loss of vehicle control and may lead to a vehicle collision.",https://www.vehiclerecalls.gov.au/recalls/rec-001383
REC-001395,12-Aug-19,VOLKSWAGEN,T6,2016 - 2018,424,"On short wheelbase T6 vehicles with an electric rear lid and electric sliding doors, water may get into the vehicle interior and run onto the control unit for the electric doors. On short wheelbase T6 vehicles with an electric rear lid and electric sliding doors, water may get into the vehicle interior and run onto the control unit for the electric doors. What are the hazards? An incomplete short-circuit with local heat damage may occur. If air is supplied through open windows, doors or sliding roof, the heat damage can develop into a fire.",https://www.vehiclerecalls.gov.au/recalls/rec-001395
REC-001397,26-Apr-19,VOLKSWAGEN,PASSAT AND ARTEON,2015 - 2018,19,"Certain Passat and Arteon models with a Panorama sunroof installed within a limited production period have a bonded joint between the sunroof trim panel and the sunroof frame, which may have had the incorrect primer used as part of the installation/repair process. Certain Passat and Arteon models with a Panorama sunroof installed within a limited production period have a bonded joint between the sunroof trim panel and the sunroof frame, which may have had the incorrect primer used as part of the installation/repair process. What are the hazards? The sunroof trim panel may detach from the sunroof frame. If the trim detaches whilst driving, it may endanger other road users or lead to an accident.",https://www.vehiclerecalls.gov.au/recalls/rec-001397
REC-001398,18-Oct-20,VOLKSWAGEN,CRAFTER,2018 - 2020,45,"Windows for a limited number of Crafter vehicles may have been incorrectly stored during production and become damaged. Affected windows could allow water into the vehicle and could even fall off the vehicle. Windows for a limited number of Crafter vehicles may have been incorrectly stored during production and become damaged. Affected windows could allow water into the vehicle and could even fall off the vehicle. What are the hazards? A car window falling onto the road could cause an accident involving other road users, causing potential injuries or death.",https://www.vehiclerecalls.gov.au/recalls/rec-001398
REC-001399,2-Jun-20,VOLKSWAGEN,TIGUAN,2016 - 2020,"3,242","The roof spoiler can partially or completely detach from the vehicle, due to the use of an unsuitable adhesive. The roof spoiler can partially or completely detach from the vehicle, due to the use of an unsuitable adhesive. What are the hazards? If the roof spoiler was to detach while driving it could increase the likelihood of an accident that may endanger other road users. This could increase the risk of an accident and injury to vehicle occupants or other road users. In the event of a serious accident this may result in death.",https://www.vehiclerecalls.gov.au/recalls/rec-001399
REC-001400,10-Mar-21,VOLKSWAGEN,AMAROK,2016 - 2019,"19,936","The cable for the spare wheel winch can be weakened and snap when used under certain conditions (extreme dirt/dust exposure). The spare wheel will then only be secured by the secondary securing strap. The cable for the spare wheel winch can be weakened and snap when used under certain conditions (extreme dirt/dust exposure). The spare wheel will then only be secured by the secondary securing strap. What are the hazards? If the spare wheel detaches, this may result in an accident and injury or death to other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-001400
REC-001410,27-Nov-19,VOLKSWAGEN,"TIGUAN, PASSAT CC",2015 - 2016,"5,131","A faulty condenser may have been fitted inside the airbag control unit. A faulty condenser may have been fitted inside the airbag control unit. What are the hazards? The faulty condenser can result in either of the following consequences 1. deactivation of the airbag. If the airbag system is switched off, the airbag warning lamp will illuminate. 2. inadvertent activation of airbags or seatbelt pretensioners. The control unit may interpret the faulty condenser as a crash signal (faulty front crash detection), which could cause the airbag(s) and/or seatbelt pretensioner(s) to be triggered incorrectly. If the airbag is deactivated or is inadvertently activated, this increases the risk of an accident and injury to the vehicle occupants and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-001410
REC-001411,19-Jun-15,VOLKSWAGEN,POLO,,99,"On some Polo vehicles a backrest frame, with incorrect welding, may have been fitted on the front seats. On some Polo vehicles a backrest frame, with incorrect welding, may have been fitted on the front seats. What are the hazards? An incorrect weld may cause noises from the front seats. However, it cannot be completely ruled out that if this fault remains undetected and the vehicle is involved in an accident the backrest may fail and lead to injury.",https://www.vehiclerecalls.gov.au/recalls/rec-001411
REC-001414,10-Mar-21,VOLKSWAGEN,TIGUAN,2020 - 2021,32,"Bolts may not have been installed on the longitudinal adjustment mechanism of the driver seat. Bolts may not have been installed on the longitudinal adjustment mechanism of the driver seat. What are the hazards? A missing bolt may reduce the seat's restraint capability in the event of an accident, increasing the risk of injury to vehicle occupants. In the event of a serious accident, this may result in death.",https://www.vehiclerecalls.gov.au/recalls/rec-001414
REC-001415,26-Apr-19,VOLKSWAGEN,CADDY,2018 - 2019,119,"On Caddy vehicles of a limited production period, the front backrest padding may have been fitted incorrectly. In the event of a collision, the side airbags may not adequately deploy. On Caddy vehicles of a limited production period, the front backrest padding may have been fitted incorrectly. In the event of a collision, the side airbags may not adequately deploy. What are the hazards? The front side airbags may not provide the vehicle occupants with adequate protection and increase the risk of injury in the event of an accident.",https://www.vehiclerecalls.gov.au/recalls/rec-001415
REC-001420,18-Jul-19,VOLKSWAGEN,AMAROK,2016 - 2017,279,"Due to a production fault, the front seat wiring harness may be damaged. Due to a production fault, the front seat wiring harness may be damaged. What are the hazards? If the front seat wiring harness is damaged, it may cause local heat damage or cause the front seat to move automatically.",https://www.vehiclerecalls.gov.au/recalls/rec-001420
REC-001433,18-Aug-20,Volvo,"S60, V60, XC60, V40",2013 - 2018,375,"If the cooling system has to be refilled, air may become trapped in the cooling system which might result in insufficient cooling of the engine components. If the cooling system has to be refilled, air may become trapped in the cooling system which might result in insufficient cooling of the engine components. What are the hazards? Insufficient cooling may result in damages to engine components and may cause a fire in the engine bay. A fire in the engine bay increases the risk of an accident and injury or death to the vehicle occupants and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-001433
REC-001434,24-Sep-20,Volvo,"S60, V60, XC60",2013 - 2018,372,"If the cooling system has to be refilled, air may become trapped in the cooling system, which may result in insufficient cooling of the engine components. If the cooling system has to be refilled, air may become trapped in the cooling system, which may result in insufficient cooling of the engine components. What are the hazards? Insufficient cooling may result in damage to engine components and may cause a fire in the engine bay. A fire in the engine bay increases the risk of an accident and injury or death to the vehicle occupants and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-001434
REC-001435,12-Aug-20,Volvo,"S80, V70, XC70, S60, V60, XC60",2006 - 2019,"24,965","The flexible steel cable connected to the seat belts on the outboard side of the front seats may fatigue and separate from the seat belt, resulting in the seat belt not restraining the occupant properly. The flexible steel cable connected to the seat belts on the outboard side of the front seats may fatigue and separate from the seat belt, resulting in the seat belt not restraining the occupant properly. What are the hazards? If the occupant is not properly restrained, there is an increased risk of serious injury or death in the event of an accident.",https://www.vehiclerecalls.gov.au/recalls/rec-001435
REC-001436,13-Dec-20,Volvo,"V40,",2014 - 2018,959,"If the cooling system has to be refilled, air may become trapped in the cooling system, which might result in insufficient cooling of the engine components. If the cooling system has to be refilled, air may become trapped in the cooling system, which might result in insufficient cooling of the engine components. What are the hazards? Insufficient cooling may result in damage to engine components and may cause a fire in the engine bay. A fire in the engine bay increases the risk of an accident and injury or death to the vehicle occupants or other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-001436
REC-001437,30-Oct-20,Volvo,XC60,2017 - 2020,"9,321","The front windshield wiper arm nut was not tightened sufficiently during manufacturing. The front windshield wiper arm nut was not tightened sufficiently during manufacturing. What are the hazards? If the front windshield wiper becomes loose, it may cause an unusual noise if the windshield wiper arm should contact the edge of the bonnet. This could lead to reduced or no wiping function which reduces visibility and could increase the risk of an accident and injury to vehicle occupants or other road users. In the event of a serious accident this may result in death.",https://www.vehiclerecalls.gov.au/recalls/rec-001437
REC-001438,11-Nov-20,Volvo,"S60, S80",2001 - 2004,"2,559","The driver's airbag inflator may rupture in the event of airbag deployment. The driver's airbag inflator may rupture in the event of airbag deployment. What are the hazards? In the event that a defective airbag inflator ruptures, metal fragments may propel out through the airbag cushion towards the vehicle occupants causing serious injury or fatality.",https://www.vehiclerecalls.gov.au/recalls/rec-001438
REC-001439,19-Feb-21,Volvo,XC90,2020 - 2021,57,"The SRS control unit may not be tightened to the vehicle's body correctly. If this occurs, the airbag system light will illuminate and an error message will appear on the instrument panel. The SRS control unit may not be tightened to the vehicle's body correctly. If this occurs, the airbag system light will illuminate and an error message will appear on the instrument panel. What are the hazards? In the event of an accident, the airbag may not deploy. This could increase the risk of injury or death to vehicle occupants.",https://www.vehiclerecalls.gov.au/recalls/rec-001439
REC-001441,24-Apr-20,Volvo,XC40,2020,32,"One of the nuts connecting the brake booster to the vehicle's frame may be missing, which could lead to reduced brake performance. One of the nuts connecting the brake booster to the vehicle's frame may be missing, which could lead to reduced brake performance. What are the hazards? If the brake performance is reduced, there is an increased risk of accident causing injury to the vehicle occupants and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-001441
REC-001464,7-Jan-20,Volvo,"S60, S90, V40, V60, XC60",2013 - 2018,468,"The engine valve may leak and may cause the engine intake manifold to melt or deform. The engine valve may leak and may cause the engine intake manifold to melt or deform. What are the hazards? If the engine intake manifold melts or deforms, there may be unusual engine operation, activation of the engine malfunction indication light, engine interruption or lack of power, or the possibility of a localised engine bay fire. If any of these were to occur, it may pose an accident or injury risk to the vehicle occupant(s) or other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-001464
REC-001465,7-Jan-20,Volvo,"V40, V40CC, S60, V60, XC60",2013 - 2018,"1,092","The engine valve may leak and may cause the engine intake manifold to melt or deform. The engine valve may leak and may cause the engine intake manifold to melt or deform. What are the hazards? If the engine intake manifold melts or deforms, there may be unusual engine operation, activation of the engine malfunction indication light, engine interruption or lack of power, or the possibility of a localised engine bay fire. If any of these were to occur, it may pose an accident or injury risk to the vehicle occupant(s) or other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-001465
REC-001466,24-Apr-20,Volvo,"S60, V60, V90 CC, XC60, XC90, XC40",2019 - 2020,"9,173","A software code in the Active Safety Domain Master (ASDM) system has been identified as missing, which can result in the Automatic Emergency Brake (AEB) system not triggering the automatic brakes. A software code in the Active Safety Domain Master (ASDM) system has been identified as missing, which can result in the Automatic Emergency Brake (AEB) system not triggering the automatic brakes. What are the hazards? If the driver fails to react to the AEB collision warning and the system fails to activate the brakes, there is an increased risk of collision. This could cause serious injury to the vehicle occupants and other road users. The usual brakes and the collision warnings and brake support for pedestrians and bicycles are not affected.",https://www.vehiclerecalls.gov.au/recalls/rec-001466
REC-001582,13-Dec-20,NISSAN,PATHFINDER,2019,11,"The CVT hose from the radiator to the oil warmer may have been installed in reverse orientation. Due to stress from straightening, the CVT oil hose may crack and leak. This can result in loss of power, fluid puddles under the vehicle or smoking when the CVT oil comes into contact with high temperature surfaces. The CVT hose from the radiator to the oil warmer may have been installed in reverse orientation. Due to stress from straightening, the CVT oil hose may crack and leak. This can result in loss of power, fluid puddles under the vehicle or smoking when the CVT oil comes into contact with high temperature surfaces.",https://www.vehiclerecalls.gov.au/recalls/rec-001582
REC-001583,5-Jan-21,NISSAN,LEAF,2019 - 2020,152,"The welded joint on the actuator plate may fail during use. The welded joint on the actuator plate may fail during use. What are the hazards? If the actuator plate fails, the park lock may not engage when the user shifts into a Park position. This could result in unintended vehicle movement, which may increase the risk of an accident or injury to vehicle occupants, other road users and bystanders.",https://www.vehiclerecalls.gov.au/recalls/rec-001583
REC-001584,15-Feb-21,NISSAN,NAVARA,2020,220,"The steering knuckle bolts may not be sufficiently tightened, which can cause the steering knuckle, hub and the bearing assemblies to become detached. If the front knuckle bolts gradually loosen, vehicle occupants may experience noise and vibration. If the vehicle is driven in this condition, the four knuckle bolts may completely loosen, resulting in wheel detachment. The steering knuckle bolts may not be sufficiently tightened, which can cause the steering knuckle, hub and the bearing assemblies to become detached. If the front knuckle bolts gradually loosen, vehicle occupants may experience noise and vibration. If the vehicle is driven in this condition, the four knuckle bolts may completely loosen, resulting in wheel detachment.",https://www.vehiclerecalls.gov.au/recalls/rec-001584
REC-001585,21-Mar-21,NISSAN,PATHFINDER,2013 - 2017,"14,460","The stop lamp relay may stick in the ON position. The stop lamp relay may stick in the ON position. What are the hazards? If the stop lamp relay sticks in the ON position, the following may occur: 1. The stop lamps remain illuminated when the brakes are not being applied; or 2. Loss of engine power; or 3. The driver may be able to shift the vehicle out of park or start the engine without depressing the brake pedal. This increases the risk of an accident and injury or death to vehicle occupants or other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-001585
REC-001587,8-Apr-21,TESLA,"S, X",2014 - 2018,"2,527","The eMMC may malfunction over time. If a malfunction occurs: 1. The central display may black out and not recover after restarting the touchscreen; and/or 2. There may be loss of certain functionalities, including rearview backup camera, exterior turn signal lighting and windshield defogging and defrosting controls; and/or 3. A vehicle alert to contact Service may appear. The eMMC may malfunction over time. If a malfunction occurs: 1. The central display may black out and not recover after restarting the touchscreen; and/or 2. There may be loss of certain functionalities, including rearview backup camera, exterior turn signal lighting and windshield defogging and defrosting controls; and/or 3. A vehicle alert to contact Service may appear.",https://www.vehiclerecalls.gov.au/recalls/rec-001587
REC-001588,12-Apr-21,BMW,"X5, X6",2007 - 2010,"16,849","The plug connection from the wiring harness to the blower controller may deteriorate over time. This may cause the plug-in contact to short circuit or overheat. The plug connection from the wiring harness to the blower controller may deteriorate over time. This may cause the plug-in contact to short circuit or overheat. What are the hazards? If the plug-contact short circuits or overheats, this may cause a fire. A vehicle fire could increase the risk of an accident, serious injury or death to vehicle occupants, other road users and bystanders, and/or damage to property.",https://www.vehiclerecalls.gov.au/recalls/rec-001588
REC-001591,21-Mar-21,Mazda,CX-30,2020 - 2021,"2,668","The boot's power liftgate may partially lower unexpectedly from the fully opened position when the vehicle is parked facing uphill on a slope in high ambient temperature. The boot's power liftgate may partially lower unexpectedly from the fully opened position when the vehicle is parked facing uphill on a slope in high ambient temperature. What are the hazards? If the boot's power liftgate partially lowers while a person is accessing the rear storage area of the vehicle, the liftgate may contact them, increasing the risk of injury.",https://www.vehiclerecalls.gov.au/recalls/rec-001591
REC-001592,23-Aug-21,HYUNDAI,KONA EV,2018 - 2020,615,"Due to a manufacturing defect, the battery does not meet specifications and may lead to an electrical short which could start a fire. Due to a manufacturing defect, the battery does not meet specifications and may lead to an electrical short which could start a fire. What are the hazards? A vehicle fire may increase the risk of serious injury or death to vehicle occupants, bystanders and/or damage to property.",https://www.vehiclerecalls.gov.au/recalls/rec-001592
REC-001593,15-Apr-21,JEEP,GRAND CHEROKEE (WK),2016 - 2020,111,"In some vehicles the signal from the crankshaft position sensor may fail. This may result in an engine stall, as well as loss of the ability to restart the engine or loss of engine power. In some vehicles the signal from the crankshaft position sensor may fail. This may result in an engine stall, as well as loss of the ability to restart the engine or loss of engine power. What are the hazards? A sudden loss of engine power increases the risk of an accident and injury or death to vehicle occupants or other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-001593
REC-001594,16-May-21,KIA,"SPORTAGE, STINGER",2016 - 2019,"57,851","The Hydraulic Electronic Control Unit (HECU), responsible for the Anti-lock Braking System, Electronic Stability Control System and Traction Control System, can remain live even when the vehicle is switched off. If moisture enters the HECU, an electrical short circuit can occur. The Hydraulic Electronic Control Unit (HECU), responsible for the Anti-lock Braking System, Electronic Stability Control System and Traction Control System, can remain live even when the vehicle is switched off. If moisture enters the HECU, an electrical short circuit can occur. What are the hazards? If an electrical short circuit occurs, this could result in an engine compartment fire when the key is switched off and the vehicle is parked. A vehicle fire could increase the risk injury or death to vehicle occupants or bystanders and/or damage to property.",https://www.vehiclerecalls.gov.au/recalls/rec-001594
REC-001596,30-May-21,HYUNDAI,GENESIS,2014 - 2017,"1,213","Due to a manufacturing error, an electronic control circuit board in the Anti-Lock Braking System (ABS) module may short circuit when the components are exposed to moisture. Due to a manufacturing error, an electronic control circuit board in the Anti-Lock Braking System (ABS) module may short circuit when the components are exposed to moisture. What are the hazards? There is a risk of a fire, even when the vehicle is turned off, as the circuit is constantly powered. This could increase the risk of an accident, serious injury or death to vehicle occupants, other road users and bystanders, and/or damage to property. The short circuit does not affect the functioning of the brake system.",https://www.vehiclerecalls.gov.au/recalls/rec-001596
REC-001597,30-May-21,GENESIS,G80,,124,"Due to a manufacturing error, an electronic control circuit board in the Anti-Lock Braking System (ABS) module may short circuit when the components are exposed to moisture. Due to a manufacturing error, an electronic control circuit board in the Anti-Lock Braking System (ABS) module may short circuit when the components are exposed to moisture. What are the hazards? There is a risk of a fire, even when the vehicle is turned off, as the circuit is constantly powered. This could increase the risk of an accident, serious injury or death to vehicle occupants, other road users and bystanders, and/or damage to property. The short circuit does not affect the functioning of the brake system.",https://www.vehiclerecalls.gov.au/recalls/rec-001597
REC-001598,7-May-21,NISSAN,NAVARA,2015 - 2017,73,"The child restraint system (CRS) top tethers may not be strong enough to keep a child seat securely fastened and may break during an accident. The child restraint system (CRS) top tethers may not be strong enough to keep a child seat securely fastened and may break during an accident. What are the hazards? If the tethers break or the child seat is not securely fastened, the child may not be adequately restrained in their seat during an accident, which may result in serious injury or death to the child.",https://www.vehiclerecalls.gov.au/recalls/rec-001598
REC-001599,29-Apr-21,NISSAN,JUKE,2019 - 2020,56,"The heat shield may not be in the proper position around the front driver airbag's inflator. When the airbag is triggered, hot gas may damage the airbag material or cause the airbag to tear. The heat shield may not be in the proper position around the front driver airbag's inflator. When the airbag is triggered, hot gas may damage the airbag material or cause the airbag to tear. What are the hazards? If the airbag is damaged or torn, there is an increased risk of injury and/or death to vehicle occupants in the event of accident that triggers the airbag.",https://www.vehiclerecalls.gov.au/recalls/rec-001599
REC-001600,9-Jun-21,AUDI,"A6, A7",2019 - 2020,57,"Due to a manufacturing issue with the vehicle's dash panel, the front passenger airbag may not fully inflate in the event of an accident. Due to a manufacturing issue with the vehicle's dash panel, the front passenger airbag may not fully inflate in the event of an accident. What are the hazards? In the event of and accident resulting in the front passenger airbag being activated, the airbag may not fully inflate and/or plastic fragments may propel out through the airbag cushion towards vehicle occupants. This increases the risk of serious injury and/or death to vehicle occupants.",https://www.vehiclerecalls.gov.au/recalls/rec-001600
REC-001602,23-May-21,Mercedes-Benz,VS 30 SPRINTER,2018 - 2020,"2,881","Brake fluid may leak internally at the rear axle brake caliper over time. As a result, air may enter the rear brake system. Brake fluid may leak internally at the rear axle brake caliper over time. As a result, air may enter the rear brake system. What are the hazards? Air in the brake system would lead to increased rear brake pedal travel and reduced braking performance, increasing the risk of an accident resulting in injury or death to vehicle occupants and/or other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-001602
REC-001603,2-Jun-21,SUBARU,"IMPREZA, XV",2016 - 2020,"57,088","Due to improper Engine Control Module (ECM) programming, the ignition coil may overheat, creating a short circuit which may blow the ignition coil fuse. Due to improper Engine Control Module (ECM) programming, the ignition coil may overheat, creating a short circuit which may blow the ignition coil fuse. What are the hazards? If the ignition coil fuse blows, the engine may stop while driving and not restart. This can increase the risk of an accident, causing serious injury or death to vehicle occupants and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-001603
REC-001604,2-Jun-21,SUBARU,"FORESTER, XV",2017 - 2020,"38,755","The rear stabiliser bracket bolts may not have been sufficiently tightened during production. In this case, the bolts may become loose over time and/or fall out during normal vehicle usage. The rear stabiliser bracket bolts may not have been sufficiently tightened during production. In this case, the bolts may become loose over time and/or fall out during normal vehicle usage. What are the hazards? A dislodged bolt or a loose stabiliser bracket may impact nearby components such as the drive shaft, sub-frame, or brake pipe, causing damage and/or a failure in those components. This may result in an accident, causing injury or death of vehicle occupants and/or other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-001604
REC-001605,6-Jun-21,Renault,MASTER III,2018 - 2019,266,"The fuel hose may come into contact with the engine. This may lead to fuel hose wear and a fuel leak. The fuel hose may come into contact with the engine. This may lead to fuel hose wear and a fuel leak. What are the hazards? If a fuel leak occurs, this may cause an engine fire, which could result in injury or death to vehicle occupants and bystanders and/or damage to property.",https://www.vehiclerecalls.gov.au/recalls/rec-001605
REC-001608,23-May-21,Toyota,HILUX,2020 - 2021,683,"The power wire for the cargo roller cover may be routed incorrectly and may chafe against the battery clamp post. If the power wire insulation is damaged, this may lead to a short circuit. The power wire for the cargo roller cover may be routed incorrectly and may chafe against the battery clamp post. If the power wire insulation is damaged, this may lead to a short circuit. What are the hazards? If a short circuit occurs, this may cause a fire. A vehicle fire could increase the risk of an accident, serious injury or death to vehicle occupants, other road users and bystanders, and/or damage to property.",https://www.vehiclerecalls.gov.au/recalls/rec-001608
REC-001611,25-May-21,SUZUKI,JIMNY,2020 - 2021,12,"The bond primer applied to the windshield glass and the rear door window glass may have been incorrectly applied to the glass. The bond primer applied to the windshield glass and the rear door window glass may have been incorrectly applied to the glass. What are the hazards? The bond primer may not adhere to the glass, water can leak into the cabin and the glass may detach from the vehicle. This could result in the glass becoming airborne or falling on to the road, increasing the risk of serious injury or death of other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-001611
REC-001613,6-Jun-21,Mercedes-Benz,GLE,2020,8,"The dashboard may not have been bonded together properly. The dashboard may not have been bonded together properly. What are the hazards? In the event of an accident, the front passenger airbag may not deploy correctly, increasing the risk of injury or death to vehicle occupants.",https://www.vehiclerecalls.gov.au/recalls/rec-001613
